港台,#genre#
凤凰中文台,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯台,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港台,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
TVB J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
台视新闻台HD,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/xL0ch83RAK8
寰宇新闻台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/6IquAgfvYmc
寰宇新闻台湾台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/w87VGpgd90U
寰宇新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/UcTIv4ZaE5Y
TVBS NEWS,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/m_dhMSvUCIc
TVBS新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/2mCSYvcfhtc
中天新闻,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/oIgbl7t0S_w
中天新聞2台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/WPfPjbOLNfE
中天亞洲,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/PYtGQvNmadg
民视新闻台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/ylYJSBUgaMA
东森新闻51频道,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/LuQ4S-i5zoE
东森财经新闻,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/WHEPzbFA3hw
東森購物2,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/Z50JFuNgvB0
東森購物1,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/ViJ3XiN6Q3M
豬哥會社,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/htGDPsz2BYI
東森購物3,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/_Vlzn9qAHD4
MOMO購物1,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/_pZQ1Lk0xMA
MOMO購物2,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/xbNWkUyxQGM
國會頻道１,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/4HysYHJ6GkY
國會頻道2,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/RAP4h3q6_Sg
台灣地震監視,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/Owke6Quk7T0
三立live新闻,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/oZdzzvxTfUY
三立INEWS,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/CKjSm5ZeehE
三立2,https://congcongvkt.cn/live?url=https://www.youtube.com/watch?v=xIm1IFBv_84
三立新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/FoBfXvlOR6I
公共电视13频道,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/C6gYqSHLRw4
mnews镜新闻,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/5n0y6b0Q25o
公视新闻网,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/quwqlazU-c8
公视台语台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/6KlRR_DGhmI
华视综艺频道,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/IfKO17h4pVE
華視戲劇頻道,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/WFXI3igmwDk
华视综艺频道,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/IfKO17h4pVE
CTS华视新闻,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/wM0g8EoUZ_E
大愛一臺,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/MIqUplvSRWA
大爱二台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/OKvWtVoDR8I
大愛二臺,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/DTNkEm6jaqQ
TaiwanPlus,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/dZp87qnWelE
Euronews English,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/pykpO5kQJ98
GB News,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/8WX6YL9JnLw
信大電視台,https://congcongvkt.cn/live?url=https://www.youtube.com/live/ciwFpYofb28
中视新闻台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/TCnaIE_SAtM
中视亚洲台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/live/s2waUruqze4
中视经典综艺,https://youtube.aaaafeng.us.kg/live?url=https://www.youtube.com/live/ADDSmXoPDY8
凤凰卫视资讯台,https://youtube.aaaafeng.us.kg/live?url=https://www.youtube.com/live/HFib76ySpbU
凤凰卫视资讯台1,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=HFib76ySpbU
DW德國之聲,https://utv.stz9.eu.org/live?url=https://youtu.be/-PV1BoxXuP8
DW德國之聲2,https://utv.stz9.eu.org/live?url=https://youtu.be/tZT2MCYu6Zw

TRTWORLD,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=5VF4aor94gw

Al Jazeera,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=gCNeDWCI0vo

Bloomberg Quicktake,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=DxmDPrfinXY

Euronews English,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=pykpO5kQJ98

United Nations,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=wfAa1GiNdgM

Channels,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=dfB0qmJo1eM

TaiwanPlus,https://utv.stz9.eu.org/live?url=https://www.youtube.com/watch?v=dZp87qnWelE

