央视,#genre#
parse=1
1綜合,https://tv.cctv.com/live/cctv1
2財經,https://tv.cctv.com/live/cctv2
3綜藝,https://tv.cctv.com/live/cctv3
4中文國際,https://tv.cctv.com/live/cctv4
5體育,https://tv.cctv.com/live/cctv5
5+體育賽事,https://tv.cctv.com/live/cctv5plus
6電影,https://tv.cctv.com/live/cctv6
7國防軍事,https://tv.cctv.com/live/cctv7
8電視劇,https://tv.cctv.com/live/cctv8
9紀錄,https://tv.cctv.com/live/cctvjilu
10科教,https://tv.cctv.com/live/cctv10
11戲曲,https://tv.cctv.com/live/cctv11
12社會與法,https://tv.cctv.com/live/cctv12
13新聞,https://tv.cctv.com/live/cctv13
14少兒,https://tv.cctv.com/live/cctvchild
15音樂,https://tv.cctv.com/live/cctv15
16奧林匹克,https://tv.cctv.com/live/cctv16
17農業農村,https://tv.cctv.com/live/cctv17
4中文國際歐洲,https://tv.cctv.com/live/cctveurope
4中文國際美洲,https://tv.cctv.com/live/cctvamerica
