高速油管（切换EXO）,#genre#
中天新聞2台,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=WPfPjbOLNfE
中天新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=oIgbl7t0S_w
民視新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=ylYJSBUgaMA
TVBS新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=2mCSYvcfhtc
東森財經,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=WHEPzbFA3hw
華視新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=wM0g8EoUZ_E
台視新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=xL0ch83RAK8
台視新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=TCnaIE_SAtM
寰宇新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=UcTIv4ZaE5Y
公視新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=quwqlazU-c8
鏡新聞mnews,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=5n0y6b0Q25o
TaiwanPlus,https://www.youtube.com/watch?v=dZp87qnWelE
大愛一臺,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=MIqUplvSRWA
Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
三立新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=FoBfXvlOR6I
三立+,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=oZdzzvxTfUY
GB News,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=8WX6YL9JnLw
公視,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=quwqlazU-c8
東森購物2,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=Z50JFuNgvB0
東森購物1,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=ViJ3XiN6Q3M
中天亞洲,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=PYtGQvNmadg
豬哥會社,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=htGDPsz2BYI
東森購物3,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=_Vlzn9qAHD4
MOMO購物1,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=_pZQ1Lk0xMA
MOMO購物2,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=xbNWkUyxQGM
國會頻道１,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=4HysYHJ6GkY
國會頻道2,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=RAP4h3q6_Sg
台灣地震監視,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=Owke6Quk7T0
中視經典綜藝,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=ADDSmXoPDY8
三立新聞,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=FoBfXvlOR6I
三立+,https://ytb.zapi.us.kg/live?url=https://www.youtube.com/watch?v=oZdzzvxTfUY
